protocol_id,implementation,width,operation,operation_class,regime,output_obligation,evidence_class,support_status,cases,instructions,cycles,nand_evaluations,nand_output_transitions,state_bit_transitions,input_bit_transitions,initial_nand_transitions,rejections,encodes,reconstructs,refreshes,notes
PAH-BUILD002-CONF0001,BIN+VSC-S4,6,VALUATION_THRESHOLD_QUERY,REPRESENTATION_LOCAL,WARM_RESIDENT,PREDICATE_ONLY,STRUCTURAL_DECLARED_INTEGRATED,FULL_BINARY_MAGNITUDE_EXACT_S4_SIDECAR,768,768,768,4329984,135894,364,1662,3482,0,0,0,0,Every supported S4 threshold query is executed from every exact W-bit resident state; state is held.
PAH-BUILD002-CONF0001,BIN-FU,8,MULTIPLY,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FULL_2W_PRODUCT,65536,65536,65536,134217728,14132564,0,131054,1344,0,0,0,0,Operand loading and result registers are not included in this operation-specific row.
PAH-BUILD002-CONF0001,BIN-DIV,8,DIVIDE_AND_EXACT,BINARY_MAGNITUDE_LOCAL,COLD_MAG,PREDICATE_ONLY,STRUCTURAL_DECLARED,FULL_BINARY,65536,65536,65536,113311744,13347295,0,131054,1201,0,0,0,0,Full quotient/remainder/status circuit is charged even though only exactness is required.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,COMPOSE,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,5929,5929,5929,6711628,807276,0,23082,692,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-THERM-S4,8,COMPOSE,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,5929,5929,5929,4618691,548625,0,33530,483,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,MEET,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,5929,5929,5929,6065367,671508,0,23082,624,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,JOIN,REPRESENTATION_LOCAL,WARM_RESIDENT,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,5929,5929,5929,6071296,731469,0,23082,624,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,DIVIDES,REPRESENTATION_LOCAL,WARM_RESIDENT,PREDICATE_ONLY,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,5929,5929,5929,5330171,584339,0,23082,554,0,0,0,0,"Native operation only; common-domain smooth states, no acquisition/reconstruction or state DFFs."
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,ENCODE,REQUIRES_FACTOR_DISCOVERY,COLD_MAG,STRUCTURAL_FINAL,STRUCTURAL_DECLARED,EXACT_CATALOG_VALUATIONS_SUPPORT_TAGGED,256,256,256,1225216,114122,0,502,2596,0,0,0,0,Runtime is an emitted NAND truth-table adapter; construction-time arithmetic only selects fixed minterms.
PAH-BUILD002-CONF0001,VFU-BINEXP-S4,8,RECONSTRUCT,CROSS_REPRESENTATION,WARM_RESIDENT,MAGNITUDE_FINAL,STRUCTURAL_DECLARED,FULL_EXACT_COMMON_W_BIT_DOMAIN,77,77,77,1412411,195834,0,293,10499,0,0,0,0,Every common-domain exact state is reconstructed; malformed/saturated/overflow rejection is tested separately.
PAH-BUILD002-CONF0001,BIN-GCD,8,GCD,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,SEMANTIC_STEP_PLUS_STRUCTURAL_DECLARED,FULL_BINARY_TRANSITIONS_NOT_MEASURED,65536,65536,1400350,1179094700,-1,-1,-1,-1,0,0,0,0,Cycles execute the exhaustively checked NAND transition; settled transition totals were not replayed end-to-end.
PAH-BUILD002-CONF0001,BIN-GCD+DIV+MUL,8,LCM,BINARY_MAGNITUDE_LOCAL,COLD_MAG,MAGNITUDE_FINAL,COMPOSITE_STRUCTURAL_DECLARED,FULL_BINARY_2W_RESULT_TRANSITIONS_NOT_MEASURED,65536,65536,1530400,1424694125,-1,-1,-1,-1,0,0,0,0,"LCM uses checked GCD, exact division, and full 2W multiplication; composite controller transitions are not claimed."
PAH-BUILD002-CONF0001,BIN+VSC-S4,8,ENCODE_LOAD,REQUIRES_FACTOR_DISCOVERY,COLD_MAG,STRUCTURAL_FINAL,STRUCTURAL_DECLARED_INTEGRATED,FULL_BINARY_TO_EXACT_S4,256,256,256,4062976,147761,0,503,9315,0,0,0,0,The integrated load truth table acquires authoritative magnitude and exact S4 thresholds in one cycle.
PAH-BUILD002-CONF0001,BIN+VSC-S4,8,VALUATION_THRESHOLD_QUERY,REPRESENTATION_LOCAL,WARM_RESIDENT,PREDICATE_ONLY,STRUCTURAL_DECLARED_INTEGRATED,FULL_BINARY_MAGNITUDE_EXACT_S4_SIDECAR,4352,4352,4352,69070592,892582,1489,8702,9308,0,0,0,0,Every supported S4 threshold query is executed from every exact W-bit resident state; state is held.
